alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
deren20,0.125,pmcd,0.20728565662120507,0.20125744680851065,0.21497763578274764,0.006191013217948377,5.48000000000001,5.479999999999993,5.480000000000016,0.006191013217948377,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren20,0.125,pmdaproc,5.008331639591999,4.967114649681526,5.0338120204603545,0.025205676962537695,53.82400000000022,53.823999999999856,53.82400000000038,0.025205676962537695,0,0,0,0.0,-1,-1,-1,-1,-1,2123
deren20,0.125,pmdalinux,0.42417570285952555,0.40653503184713374,0.43567515923566874,0.010961910153604652,5.132999999999979,5.13299999999992,5.133000000000024,0.010961910153604652,0,0,0,0.0,-1,-1,-1,-1,-1,24
deren20,0.125,pmdaperfevent,1.0611000419268992,1.0252292993630572,1.0752531914893615,0.021473331226770923,6.804999999999981,6.804999999999945,6.805000000000014,0.021473331226770923,0,0,0,0.0,-1,-1,-1,-1,-1,48
deren20,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280.94745121358466,280.271829787234,281.5411611253198,0.5073305581104044,-1,-1
deren20,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2195, -1
deren20,0.0625,pmie,0.0,0.0,0.0,0.0,5.1130000000000315,5.112999999999966,5.113000000000105,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren20,0.0625,pmcd,0.4135861412596268,0.3997310565635006,0.433444089456869,0.014866500966514686,5.479999999999913,5.479999999999779,5.480000000000016,0.014866500966514686,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren20,0.0625,pmdaproc,9.927774517556996,9.88612363869315,10.000843450479234,0.044545539282380586,53.824000000000005,53.82399999999883,53.82400000000041,0.044545539282380586,0,0,0,0.0,-1,-1,-1,-1,-1,2123
deren20,0.0625,pmdalinux,0.8326677630435778,0.8209797225186769,0.8466835361947471,0.01091872588399794,5.132999999999924,5.132999999999866,5.133000000000024,0.01091872588399794,0,0,0,0.0,-1,-1,-1,-1,-1,24
deren20,0.0625,pmdaperfevent,2.184020857594866,2.163283653846154,2.2288115015974443,0.025748461744913295,6.805000000000057,6.804999999999943,6.805000000000152,0.025748461744913295,0,0,0,0.0,-1,-1,-1,-1,-1,48
deren20,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,568.6587417848613,566.7544080000001,569.6338083067093,1.1704131673790366,-1,-1
deren20,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2195, -1
deren20,0.03125,pmie,0.0,0.0,0.0,0.0,5.113000000000026,5.112999999999942,5.113000000000098,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren20,0.03125,pmcd,0.449741259319371,0.4351814977973568,0.4640848190167478,0.010304059947868541,5.479999999999883,5.4799999999997455,5.480000000000015,0.010304059947868541,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren20,0.03125,pmdaproc,12.225685948787117,11.991819556996214,12.494171428571436,0.1854893747507263,53.823999999999614,53.82399999999796,53.82400000000043,0.1854893747507263,0,0,0,0.0,-1,-1,-1,-1,-1,2123
deren20,0.03125,pmdalinux,1.047794664808343,1.0437524229074888,1.0506306068601583,0.002645701310293835,5.132999999999913,5.132999999999858,5.133000000000027,0.002645701310293835,0,0,0,0.0,-1,-1,-1,-1,-1,24
deren20,0.03125,pmdaperfevent,2.547169689125789,2.519329815303429,2.5846571428571425,0.02697534263850998,6.8050000000000805,6.80499999999998,6.805000000000174,0.02697534263850998,0,0,0,0.0,-1,-1,-1,-1,-1,48
deren20,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,708.0016536200241,694.9827217720134,720.8967974025966,9.891290037250238,-1,-1
deren20,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2195, -1
deren30,1,pmie,0.0,0.0,0.0,0.0,5.113,5.113,5.113,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren30,1,pmcd,0.036575614035087724,0.026144736842105266,0.053263157894736846,0.011383120174186391,5.480000000000003,5.479999999999998,5.4800000000000075,0.011383120174186391,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren30,1,pmdaproc,0.7280715789473685,0.7187368421052633,0.7366842105263158,0.008064962694811226,53.824000000000005,53.82399999999994,53.82400000000004,0.008064962694811226,0,0,0,0.0,-1,-1,-1,-1,-1,2208
deren30,1,pmdalinux,0.07156684210526315,0.05263157894736842,0.08752631578947369,0.013243784357188962,5.132999999999998,5.132999999999993,5.133000000000003,0.013243784357188962,0,0,0,0.0,-1,-1,-1,-1,-1,28
deren30,1,pmdaperfevent,0.17947035087719296,0.15726315789473685,0.19285964912280698,0.013384532274856736,6.8050000000000015,6.804999999999992,6.805000000000005,0.013384532274856736,0,0,0,0.0,-1,-1,-1,-1,-1,96
deren30,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.28734228070175,40.42687368421051,43.000368421052634,1.0328523987747842,-1,-1
deren30,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2332, -1
deren30,0.5,pmie,0.0,0.0,0.0,0.0,5.113000000000012,5.113,5.113000000000028,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren30,0.5,pmcd,0.06006649572649573,0.05261538461538462,0.06883760683760684,0.007236367788759652,5.4800000000000075,5.479999999999998,5.480000000000013,0.007236367788759652,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren30,0.5,pmdaproc,1.3734619658119658,1.3547179487179486,1.3836858974358974,0.0128141608552239,53.82399999999996,53.82399999999986,53.82400000000003,0.0128141608552239,0,0,0,0.0,-1,-1,-1,-1,-1,2208
deren30,0.5,pmdalinux,0.10424299145299144,0.10130769230769229,0.11278974358974361,0.004801382940678102,5.1330000000000044,5.132999999999996,5.133000000000015,0.004801382940678102,0,0,0,0.0,-1,-1,-1,-1,-1,28
deren30,0.5,pmdaperfevent,0.2862160683760684,0.2734957264957265,0.3064102564102564,0.012243506337628517,6.804999999999994,6.804999999999983,6.805000000000004,0.012243506337628517,0,0,0,0.0,-1,-1,-1,-1,-1,96
deren30,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75.7302904273504,75.66642307692305,75.7662769230769,0.03996741824654249,-1,-1
deren30,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2332, -1
deren30,0.25,pmie,0.0,0.0,0.0,0.0,5.113000000000027,5.113,5.113000000000042,0.0,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren30,0.25,pmcd,0.133722094017094,0.12298974358974357,0.1539102564102564,0.012228082693725923,5.480000000000012,5.480000000000005,5.480000000000015,0.012228082693725923,0,0,0,0.0,-1,-1,-1,-1,-1,-1
deren30,0.25,pmdaproc,2.6999539316239316,2.6876307692307693,2.720166666666666,0.012498046923173715,53.82400000000008,53.823999999999856,53.824000000000254,0.012498046923173715,0,0,0,0.0,-1,-1,-1,-1,-1,2208
