alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
dolap20,0.0625,pmdalinux,10.21979127,10.16215076,10.34814356,0.07449593555,25.66,25.66,25.66,0.07449593555,0,0,0,0,-1,-1,-1,-1,-1,185
dolap20,0.0625,pmdaperfevent,7.536946376,7.448185115,7.640326733,0.07885265934,8.441,8.441,8.441,0.07885265934,0,0,0,0,-1,-1,-1,-1,-1,528
dolap20,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,849.0898412,774.8048174,891.0265838,46.39538471,-1,-1
dolap20,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13162,-1
dolap20,0.03125,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.03125,pmcd,0.9653287278,0.942884984,1.014624772,0.0281876957,6.266,6.266,6.266,0.0281876957,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.03125,pmdaproc,27.3315593,26.83105797,28.53502004,0.6933443012,6.331504899,6.323205882,6.339875451,0.6933443012,0,0,0,0,-1,-1,-1,-1,-1,6515
dolap20,0.03125,pmdalinux,9.518443293,9.376992754,9.989236794,0.2643662873,25.66,25.66,25.66,0.2643662873,0,0,0,0,-1,-1,-1,-1,-1,185
dolap20,0.03125,pmdaperfevent,6.93553112,6.741831683,7.341065574,0.2334283831,8.441,8.441,8.441,0.2334283831,0,0,0,0,-1,-1,-1,-1,-1,528
dolap20,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,740.0610838,730.3962947,757.9542933,10.81719128,-1,-1
dolap20,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13162,-1
dolap30,1,pmie,0.002109473684,0,0.01054736842,0.004716926555,5.414,5.414,5.414,0.004716926555,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,1,pmcd,0.404424386,0.3685789474,0.4205131579,0.02134899131,6.266,6.266,6.266,0.02134899131,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,1,pmdaproc,5.527218246,5.495649123,5.551684211,0.02199279918,6.371812667,6.35875,6.38238,0.02199279918,0,0,0,0,-1,-1,-1,-1,-1,6524
dolap30,1,pmdalinux,1.830567368,1.800736842,1.8576,0.02082847055,25.66,25.66,25.66,0.02082847055,0,0,0,0,-1,-1,-1,-1,-1,189
dolap30,1,pmdaperfevent,1.289664912,1.263421053,1.301894737,0.0155004994,8.441,8.441,8.441,0.0155004994,0,0,0,0,-1,-1,-1,-1,-1,1056
dolap30,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,259.7564179,256.3326947,262.3942105,2.374977447,-1,-1
dolap30,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14242,-1
dolap30,0.5,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.5,pmcd,0.5472486683,0.5111282051,0.5653612903,0.02353535693,6.266,6.266,6.266,0.02353535693,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.5,pmdaproc,10.28123026,10.178,10.34431795,0.06721149953,6.413039,6.402,6.425595,0.06721149953,0,0,0,0,-1,-1,-1,-1,-1,6524
dolap30,0.5,pmdalinux,3.374774701,3.223435897,3.436933333,0.08769720857,25.66,25.66,25.66,0.08769720857,0,0,0,0,-1,-1,-1,-1,-1,189
dolap30,0.5,pmdaperfevent,2.45991735,2.431576923,2.497584615,0.02373133526,8.441,8.441,8.441,0.02373133526,0,0,0,0,-1,-1,-1,-1,-1,1056
dolap30,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,386.4686134,376.3354615,392.7163504,6.610512771,-1,-1
dolap30,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14242,-1
dolap30,0.25,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.25,pmcd,0.8759789868,0.856304721,0.9206410256,0.02569936162,6.266,6.266,6.266,0.02569936162,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.25,pmdaproc,20.18807802,19.98541902,20.45953846,0.1712932288,6.501460259,6.491506329,6.512598985,0.1712932288,0,0,0,0,-1,-1,-1,-1,-1,6524
dolap30,0.25,pmdalinux,6.85175184,6.773066838,7.035435897,0.1046398162,25.66,25.66,25.66,0.1046398162,0,0,0,0,-1,-1,-1,-1,-1,189
dolap30,0.25,pmdaperfevent,4.986437451,4.960568123,5.031730769,0.02701951256,8.441,8.441,8.441,0.02701951256,0,0,0,0,-1,-1,-1,-1,-1,1056
dolap30,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,642.0434583,636.6549227,654.8201154,7.744847206,-1,-1
dolap30,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14242,-1
dolap30,0.125,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.125,pmcd,1.191204622,1.169868852,1.21120332,0.01669148789,6.266,6.266,6.266,0.01669148789,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.125,pmdaproc,31.66864756,31.64823158,31.75031148,0.04565151753,6.550907662,6.550869919,6.550917098,0.04565151753,0,0,0,0,-1,-1,-1,-1,-1,6524
dolap30,0.125,pmdalinux,11.14027653,10.81967742,11.29634426,0.1859931317,25.66,25.66,25.66,0.1859931317,0,0,0,0,-1,-1,-1,-1,-1,189
dolap30,0.125,pmdaperfevent,8.326486608,8.086222411,8.461754098,0.141972269,8.441,8.441,8.441,0.141972269,0,0,0,0,-1,-1,-1,-1,-1,1056
dolap30,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,912.6888602,889.4887936,928.1154672,14.67211539,-1,-1
dolap30,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14242,-1
dolap30,0.0625,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.0625,pmcd,1.081496567,1.060126016,1.09525,0.01715220151,6.266,6.266,6.266,0.01715220151,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.0625,pmdaproc,26.00309501,25.61928659,26.40256863,0.3482988732,6.233429009,6.227,6.244434608,0.3482988732,0,0,0,0,-1,-1,-1,-1,-1,6524
dolap30,0.0625,pmdalinux,9.082914584,8.937373984,9.288253731,0.1390866679,25.66,25.66,25.66,0.1390866679,0,0,0,0,-1,-1,-1,-1,-1,189
dolap30,0.0625,pmdaperfevent,6.620239131,6.576463291,6.662813725,0.04110916921,8.441,8.441,8.441,0.04110916921,0,0,0,0,-1,-1,-1,-1,-1,1056
dolap30,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,764.2561435,760.8040325,769.2552601,3.716427292,-1,-1
dolap30,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14242,-1
dolap30,0.03125,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.03125,pmcd,1.004733924,0.9592351275,1.064615385,0.04056807556,6.266,6.266,6.266,0.04056807556,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap30,0.03125,pmdaproc,24.82544261,23.90335977,26.32160625,0.8981041532,6.302516505,6.292826087,6.317371134,0.8981041532,0,0,0,0,-1,-1,-1,-1,-1,6524
dolap30,0.03125,pmdalinux,8.635245497,8.32076204,9.131608333,0.3000566715,25.66,25.66,25.66,0.3000566715,0,0,0,0,-1,-1,-1,-1,-1,189
dolap30,0.03125,pmdaperfevent,6.273390994,5.982951841,6.630954167,0.2352703453,8.441,8.441,8.441,0.2352703453,0,0,0,0,-1,-1,-1,-1,-1,1056
dolap30,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,747.0666766,727.2705892,775.5309667,18.83280638,-1,-1
dolap30,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14242,-1
dolap40,1,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,1,pmcd,0.4290207018,0.4182105263,0.4395684211,0.009663386778,6.246,6.246,6.246,0.009663386778,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,1,pmdaproc,5.538386491,5.510842105,5.565263158,0.02093866782,7.664,7.664,7.664,0.02093866782,0,0,0,0,-1,-1,-1,-1,-1,6482
dolap40,1,pmdalinux,2.727464912,2.670157895,2.784,0.04556969505,25.66,25.66,25.66,0.04556969505,0,0,0,0,-1,-1,-1,-1,-1,281
dolap40,1,pmdaperfevent,1.334857719,1.311131579,1.363578947,0.0189644905,8.441,8.441,8.441,0.0189644905,0,0,0,0,-1,-1,-1,-1,-1,1584
dolap40,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280.9787404,277.5791228,284.0132105,2.865375513,-1,-1
dolap40,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15404,-1
dolap40,0.5,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.5,pmcd,0.635455,0.6120842105,0.6799210526,0.02730735924,6.246,6.246,6.246,0.02730735924,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.5,pmdaproc,10.3094889,10.23729319,10.37084211,0.05009637337,7.664,7.664,7.664,0.05009637337,0,0,0,0,-1,-1,-1,-1,-1,6482
dolap40,0.5,pmdalinux,5.447792245,5.356450262,5.596315789,0.08883472804,25.66,25.66,25.66,0.08883472804,0,0,0,0,-1,-1,-1,-1,-1,281
dolap40,0.5,pmdaperfevent,2.512750152,2.463618421,2.578,0.04413137665,8.441,8.441,8.441,0.04413137665,0,0,0,0,-1,-1,-1,-1,-1,1584
dolap40,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,422.8574107,419.9066126,428.2307368,3.250451015,-1,-1
dolap40,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15404,-1
dolap40,0.25,pmie,0.01314276188,0,0.02569480519,0.009412912736,5.414,5.414,5.414,0.009412912736,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.25,pmcd,0.9161091278,0.9055548387,0.9265412371,0.01004404327,6.246,6.246,6.246,0.01004404327,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.25,pmdaproc,19.53378967,19.44083226,19.69138961,0.1138605075,7.683968328,7.668923077,7.693516539,0.1138605075,0,0,0,0,-1,-1,-1,-1,-1,6482
dolap40,0.25,pmdalinux,10.24281538,10.18480172,10.31183117,0.05858018647,25.66,25.66,25.66,0.05858018647,0,0,0,0,-1,-1,-1,-1,-1,281
dolap40,0.25,pmdaperfevent,5.050701588,5.013900862,5.093662338,0.02988456039,8.441,8.441,8.441,0.02988456039,0,0,0,0,-1,-1,-1,-1,-1,1584
dolap40,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,693.7514274,687.5349065,701.3606429,6.302913688,-1,-1
dolap40,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15404,-1
dolap40,0.125,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.125,pmcd,1.325400376,1.309720588,1.35088716,0.01699028433,6.246,6.246,6.246,0.01699028433,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.125,pmdaproc,32.60082755,32.49211281,32.89994853,0.1715919125,7.715508321,7.715,7.717541604,0.1715919125,0,0,0,0,-1,-1,-1,-1,-1,6482
dolap40,0.125,pmdalinux,17.47022576,17.42005945,17.61576471,0.08189284484,25.66,25.66,25.66,0.08189284484,0,0,0,0,-1,-1,-1,-1,-1,281
dolap40,0.125,pmdaperfevent,8.921368555,8.833534704,9.142735294,0.1284724851,8.441,8.441,8.441,0.1284724851,0,0,0,0,-1,-1,-1,-1,-1,1584
dolap40,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1012.349213,1007.346544,1017.525661,3.770662306,-1,-1
dolap40,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15404,-1
dolap40,0.0625,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.0625,pmcd,1.273978977,1.259368687,1.284415385,0.009763301503,6.246,6.246,6.246,0.009763301503,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.0625,pmdaproc,32.31263412,32.09795385,32.39146023,0.1224906356,7.73,7.73,7.73,0.1224906356,0,0,0,0,-1,-1,-1,-1,-1,6482
