alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
poseidon10,0.25,pmcd,0.14224767932489452,0.12569620253164557,0.1506835443037975,0.011561111521547826,6.160000000000012,6.159999999999991,6.160000000000034,0.011561111521547826,0.006015625000000011,0.0060156249999999915,0.006015625000000033,1.5438064341682233e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.25,pmdaproc,5.406340506329114,5.353348101265822,5.472556962025316,0.04675201438679361,48.671999999999976,48.67199999999981,48.672000000000125,0.04675201438679361,0.047531249999999976,0.04753124999999982,0.04753125000000012,1.1617208823677724e-16,-1,-1,-1,-1,-1,2092
poseidon10,0.25,pmdalinux,0.24438097046413498,0.23024472573839658,0.24889113924050632,0.007956715543043148,5.324000000000008,5.323999999999987,5.324000000000027,0.007956715543043148,0.005199218750000008,0.005199218749999988,0.005199218750000027,1.5103056902109694e-17,-1,-1,-1,-1,-1,26
poseidon10,0.25,pmdaperfevent,0.030551814345991562,0.017641350210970463,0.05292405063291139,0.013334375688305936,7.582000000000015,7.581999999999995,7.582000000000044,0.013334375688305936,0.007404296875000015,0.0074042968749999955,0.007404296875000043,2.0077129247708005e-17,-1,-1,-1,-1,-1,0
poseidon10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,261.7383275527425,261.6388708860756,262.0269556962024,0.16278315344480543,-1,-1
poseidon10,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2118, -1
poseidon10,0.125,pmie,0.0,0.0,0.0,0.0,2.34400000000002,2.3439999999999954,2.3440000000000354,0.0,0.0022890625000000194,0.0022890624999999955,0.0022890625000000346,1.5823706919680794e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.125,pmcd,0.3678181695341438,0.3624984126984127,0.37686228813559325,0.005739796234100407,6.159999999999978,6.159999999999932,6.160000000000034,0.005739796234100407,0.0060156249999999785,0.006015624999999933,0.006015625000000033,3.8484870614526636e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.125,pmdaproc,13.55138251716966,13.393386327503972,13.755094936708865,0.14221949265834805,48.67199999999968,48.671999999999294,48.67200000000012,0.14221949265834805,0.047531249999999685,0.04753124999999931,0.047531250000000115,3.1359655257236683e-16,-1,-1,-1,-1,-1,2092
poseidon10,0.125,pmdalinux,0.4437345492980682,0.41810126582278484,0.4724847328244275,0.02067444889901678,5.324000000000023,5.323999999999987,5.3240000000000425,0.02067444889901678,0.005199218750000022,0.005199218749999988,0.0051992187500000415,2.1631939145054385e-17,-1,-1,-1,-1,-1,26
poseidon10,0.125,pmdaperfevent,0.023073163968588536,0.0,0.033923728813559324,0.013391034164605523,7.582000000000024,7.581999999999978,7.5820000000000825,0.013391034164605523,0.007404296875000023,0.007404296874999978,0.0074042968750000805,3.7004949440780294e-17,-1,-1,-1,-1,-1,0
poseidon10,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,526.0985730239555,524.1071844783716,528.1647968253969,1.6888776052208057,-1,-1
poseidon10,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2118, -1
poseidon10,0.0625,pmie,0.0,0.0,0.0,0.0,2.344000000000033,2.3440000000000123,2.344000000000043,0.0,0.0022890625000000324,0.002289062500000012,0.002289062500000042,1.217786382333699e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.0625,pmcd,0.7384411671292088,0.732976448122215,0.7433887122416534,0.003931022554791675,6.15999999999994,6.159999999999894,6.160000000000034,0.003931022554791675,0.006015624999999941,0.006015624999999896,0.006015625000000033,5.557887255841774e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.0625,pmdaproc,26.6990544734886,26.3527365079365,26.897687599364097,0.21546383507786207,48.67199999999957,48.67199999999906,48.67200000000012,0.21546383507786207,0.04753124999999958,0.04753124999999908,0.047531250000000115,4.72746999537338e-16,-1,-1,-1,-1,-1,2092
poseidon10,0.0625,pmdalinux,0.8887064628565321,0.8662793650793649,0.9161122881355931,0.019679334123516645,5.32399999999995,5.323999999999847,5.3240000000000425,0.019679334123516645,0.005199218749999951,0.005199218749999851,0.0051992187500000415,8.300520413063528e-17,-1,-1,-1,-1,-1,26
poseidon10,0.0625,pmdaperfevent,0.010270492052109366,0.0,0.020718650541056653,0.009754532993376164,7.582000000000111,7.582000000000019,7.582000000000208,0.009754532993376164,0.007404296875000108,0.007404296875000019,0.007404296875000203,8.349770295452321e-17,-1,-1,-1,-1,-1,0
poseidon10,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1071.9080265915884,1068.8410805084752,1075.1855321451296,2.5833952004365854,-1,-1
poseidon10,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2118, -1
poseidon10,0.03125,pmie,0.0026110497237569062,0.0,0.01305524861878453,0.005838484674952489,2.344000000000032,2.3440000000000096,2.3440000000000425,0.005838484674952489,0.002289062500000031,0.0022890625000000094,0.0022890625000000415,1.299813263722854e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.03125,pmcd,0.6366733034564221,0.6236901408450705,0.6489709944751382,0.009213649680406142,6.159999999999944,6.159999999999897,6.16000000000003,0.009213649680406142,0.0060156249999999455,0.0060156249999998995,0.00601562500000003,5.274030117954349e-17,-1,-1,-1,-1,-1,-1
poseidon10,0.03125,pmdaproc,24.972464902165218,24.377376760563365,25.305517955801093,0.35325535668039987,48.6719999999995,48.671999999999095,48.67200000000009,0.35325535668039987,0.04753124999999951,0.047531249999999116,0.04753125000000009,3.7297442255882646e-16,-1,-1,-1,-1,-1,2092
