system,kernel,metric,freq,overhead,ht
luna_run,ddot,16,4,0.9394136787908376,1
luna_run,ddot,16,8,0.9808890549350472,1
luna_run,ddot,16,16,0.9999987775742948,1
luna_run,ddot,16,32,0.9804526489583023,1
luna_run,daxpy,16,1,1.003214569863147,1
luna_run,daxpy,16,2,1.0043282944268608,1
luna_run,daxpy,16,4,1.015001511324511,1
luna_run,daxpy,16,8,1.0106739117594945,1
luna_run,daxpy,16,16,1.002143370844292,1
luna_run,daxpy,16,32,1.007801769813117,1
luna_run,triad,20,1,0.8915354619960436,1
luna_run,triad,20,2,0.701315671890197,1
luna_run,triad,20,4,0.7001031578084563,1
luna_run,triad,20,8,0.9913015576629158,1
luna_run,triad,20,16,0.8921505104412296,1
luna_run,triad,20,32,0.6947065050394389,1
luna_run,sum,20,1,0.9965103211965285,1
luna_run,sum,20,2,0.996466403709736,1
luna_run,sum,20,4,0.9970908774925229,1
luna_run,sum,20,8,0.9967760572195535,1
luna_run,sum,20,16,0.9967587955335682,1
luna_run,sum,20,32,0.9973754017451918,1
luna_run,stream,20,1,1.0045873079834449,1
luna_run,stream,20,2,1.0019298628816322,1
luna_run,stream,20,4,1.001889378881286,1
luna_run,stream,20,8,0.999060771191962,1
luna_run,stream,20,16,1.0011199945770268,1
luna_run,stream,20,32,1.0056886610905449,1
luna_run,peakflops,20,1,0.9999480300195576,1
luna_run,peakflops,20,2,1.0012530068345826,1
luna_run,peakflops,20,4,1.0013254466236483,1
luna_run,peakflops,20,8,1.0013302193769542,1
luna_run,peakflops,20,16,1.0014660837543963,1
luna_run,peakflops,20,32,1.0014314017470398,1
luna_run,ddot,20,1,1.0461245814207798,1
luna_run,ddot,20,2,1.0278339662687648,1
luna_run,ddot,20,4,1.017471568925903,1
luna_run,ddot,20,8,1.0280429795187422,1
luna_run,ddot,20,16,1.0723738565070466,1
luna_run,ddot,20,32,1.066451587667368,1
luna_run,daxpy,20,1,0.9952244620234375,1
luna_run,daxpy,20,2,0.9881892552784183,1
luna_run,daxpy,20,4,0.9892743876679823,1
luna_run,daxpy,20,8,0.9904276308830043,1
luna_run,daxpy,20,16,0.9883191981758856,1
luna_run,daxpy,20,32,1.0006858855669885,1
luna_run,triad,24,1,0.8000103140735534,1
luna_run,triad,24,2,0.7990659254552838,1
luna_run,triad,24,4,0.6996746059998868,1
luna_run,triad,24,8,0.7972405347096113,1
luna_run,triad,24,16,0.699687824035897,1
luna_run,triad,24,32,0.7970400611634576,1
luna_run,sum,24,1,0.9995694653576781,1
luna_run,sum,24,2,0.9999879916506653,1
luna_run,sum,24,4,0.9998159897057837,1
luna_run,sum,24,8,1.0010767486570074,1
luna_run,sum,24,16,1.0019766684836164,1
luna_run,sum,24,32,1.0032289509529566,1
luna_run,stream,24,1,0.9980525609539493,1
luna_run,stream,24,2,0.9908988702398543,1
luna_run,stream,24,4,0.988789253097332,1
luna_run,stream,24,8,0.9945142142964083,1
luna_run,stream,24,16,0.9931987490712421,1
luna_run,stream,24,32,0.9988098880282993,1
luna_run,peakflops,24,1,1.0000541991622993,1
luna_run,peakflops,24,2,1.000142763351184,1
luna_run,peakflops,24,4,1.0001312022774254,1
luna_run,peakflops,24,8,1.00014594529809,1
luna_run,peakflops,24,16,1.0002376914338806,1
luna_run,peakflops,24,32,1.0014373914823522,1
luna_run,ddot,24,1,0.9687897703911902,1
luna_run,ddot,24,2,0.8954469481835492,1
luna_run,ddot,24,4,0.9069208807043307,1
luna_run,ddot,24,8,0.9755634178629208,1
luna_run,ddot,24,16,0.926941537764214,1
luna_run,ddot,24,32,0.9549772565617557,1
luna_run,daxpy,24,1,1.0018776312307647,1
luna_run,daxpy,24,2,0.986007202828618,1
luna_run,daxpy,24,4,0.9923199002243448,1
luna_run,daxpy,24,8,0.9912358519529484,1
luna_run,daxpy,24,16,0.9964680566790269,1
luna_run,daxpy,24,32,0.9936096263814709,1
