machine,kernel,metric,no_metric,frequency,error
deren_run,ddot,fp_arith_scalar_double_err,4,1,-0.003769287395233227,1
deren_run,ddot,instruction_retired_err,4,1,-0.0014686328424739774,1
deren_run,ddot,l1_bw,4,1,-0.0016818558408380326,1
deren_run,ddot,ai,4,1,0.12473991266219096,1
deren_run,ddot,ai_err,4,1,-0.8751962940182291,1
deren_run,ddot,fp_arith_scalar_double_err,4,2,-0.006128352233077305,1
deren_run,ddot,instruction_retired_err,4,2,-0.004297779126198588,1
deren_run,ddot,l1_bw,4,2,-0.004324303835194247,1
deren_run,ddot,ai,4,2,0.12477355916355953,1
deren_run,ddot,ai_err,4,2,-0.8751586819193531,1
deren_run,ddot,fp_arith_scalar_double_err,4,4,-0.002150937064220583,1
deren_run,ddot,instruction_retired_err,4,4,-0.0002961484289900101,1
deren_run,ddot,l1_bw,4,4,-0.0004220166996582673,1
deren_run,ddot,ai,4,4,0.12478379897654385,1
deren_run,ddot,ai_err,4,4,-0.8752107337066463,1
deren_run,ddot,fp_arith_scalar_double_err,4,8,0.003864616991418724,1
deren_run,ddot,instruction_retired_err,4,8,0.005747442863949322,1
deren_run,ddot,l1_bw,4,8,0.005980809631730808,1
deren_run,ddot,ai,4,8,0.12473715328835512,1
deren_run,ddot,ai_err,4,8,-0.8752873259769003,1
deren_run,ddot,fp_arith_scalar_double_err,4,16,-0.005422495132453854,1
deren_run,ddot,instruction_retired_err,4,16,0.040432757716733624,1
deren_run,ddot,l1_bw,4,16,0.002393942011604575,1
deren_run,ddot,ai,4,16,0.1240258303093877,1
deren_run,ddot,ai_err,4,16,-0.8759828791742443,1
deren_run,ddot,fp_arith_scalar_double_err,4,32,-0.0075604435127725415,1
deren_run,ddot,instruction_retired_err,4,32,0.059368604410136326,1
deren_run,ddot,l1_bw,4,32,-0.01097552314680717,1
deren_run,ddot,ai,4,32,0.1254345671080313,1
deren_run,ddot,ai_err,4,32,-0.8753141114321501,1
deren_run,daxpy,fp_arith_scalar_double_err,4,1,-0.0005721290908373672,1
deren_run,daxpy,instruction_retired_err,4,1,0.0008691328809111475,1
deren_run,daxpy,l1_bw,4,1,0.0009270410829275608,1
deren_run,daxpy,ai,4,1,0.08320860968726625,1
deren_run,daxpy,ai_err,4,1,-0.9167605870879418,1
deren_run,daxpy,fp_arith_scalar_double_err,4,2,-0.01217622341773397,1
deren_run,daxpy,instruction_retired_err,4,2,-0.010775307567577908,1
deren_run,daxpy,l1_bw,4,2,-0.01115368099158116,1
deren_run,daxpy,ai,4,2,0.08324718513068904,1
