alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
poseidon10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1611
poseidon10,0.25,pmie,0.0,0.0,0.0,0.0,2.344000000000005,2.3439999999999954,2.3440000000000207,0.0,0.002289062500000005,0.0022890624999999955,0.0022890625000000202,1.0798566553092634e-17,-1,-1,-1,-1,-1
poseidon10,0.25,pmcd,0.15606455696202534,0.14965822784810126,0.16417721518987344,0.006870923504837291,6.121000000000017,6.120999999999987,6.121000000000049,0.006870923504837291,0.005977539062500017,0.005977539062499987,0.005977539062500048,2.6611189615546546e-17,-1,-1,-1,-1,-1
poseidon10,0.25,pmdaproc,5.386569831223627,5.363886075949368,5.4273080168776335,0.025221541624081776,48.671999999999976,48.67199999999981,48.672000000000125,0.025221541624081776,0.047531249999999976,0.04753124999999982,0.04753125000000012,1.1617208823677724e-16,-1,-1,-1,-1,-1
poseidon10,0.25,pmdalinux,0.22793447257383967,0.19860759493670885,0.24097151898734173,0.017007769698785858,5.324000000000008,5.323999999999987,5.324000000000027,0.017007769698785858,0.005199218750000008,0.005199218749999988,0.005199218750000027,1.5103056902109694e-17,-1,-1,-1,-1,-1
poseidon10,0.25,pmdaperfevent,0.01786320675105485,0.0,0.02589240506329114,0.010624605985428347,7.51600000000002,7.515999999999998,7.516000000000044,0.010624605985428347,0.00733984375000002,0.007339843749999998,0.007339843750000043,2.0235755683879105e-17,-1,-1,-1,-1,-1
poseidon10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264.272843164557,263.9749848101267,264.8895189873417,0.3715691456065412,-1
poseidon10,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1611
poseidon10,0.125,pmie,0.0,0.0,0.0,0.0,2.34400000000002,2.3439999999999954,2.3440000000000354,0.0,0.0022890625000000194,0.0022890624999999955,0.0022890625000000346,1.5873549227802174e-17,-1,-1,-1,-1,-1
poseidon10,0.125,pmcd,0.361923991507431,0.3478343949044586,0.38220382165605093,0.012547447411241879,6.121000000000044,6.120999999999987,6.1210000000000715,0.012547447411241879,0.005977539062500043,0.005977539062499987,0.00597753906250007,3.338723089674502e-17,-1,-1,-1,-1,-1
poseidon10,0.125,pmdaproc,13.810009108280253,13.500422929936308,14.417165605095544,0.3589303444620228,48.67199999999968,48.671999999999294,48.67200000000012,0.3589303444620228,0.047531249999999685,0.04753124999999931,0.047531250000000115,3.1359655257236683e-16,-1,-1,-1,-1,-1
poseidon10,0.125,pmdalinux,0.4987191295116773,0.4782904458598725,0.5411719745222929,0.02551168157782686,5.324000000000023,5.323999999999987,5.3240000000000425,0.02551168157782686,0.005199218750000022,0.005199218749999988,0.0051992187500000415,2.1631939145054385e-17,-1,-1,-1,-1,-1
poseidon10,0.125,pmdaperfevent,0.025548513800424628,0.014207006369426753,0.03257165605095541,0.006843163211252039,7.515999999999999,7.515999999999918,7.51600000000005,0.006843163211252039,0.007339843749999999,0.00733984374999992,0.007339843750000049,5.010243587141033e-17,-1,-1,-1,-1,-1
poseidon10,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,543.8381771125266,532.6264471337578,567.7281146496817,14.357059486170638,-1
poseidon10,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1611
poseidon10,0.0625,pmie,0.0,0.0,0.0,0.0,2.344000000000033,2.3440000000000123,2.344000000000043,0.0,0.0022890625000000324,0.002289062500000012,0.002289062500000042,1.217786382333699e-17,-1,-1,-1,-1,-1
poseidon10,0.0625,pmcd,0.7188208912241469,0.6967867939538583,0.7564253968253969,0.022773565486707913,6.121000000000041,6.120999999999945,6.12100000000008,0.022773565486707913,0.00597753906250004,0.005977539062499947,0.0059775390625000785,5.45873129566901e-17,-1,-1,-1,-1,-1
poseidon10,0.0625,pmdaproc,26.6727557031312,26.480504761904776,26.865979332273458,0.15613490853391895,48.67199999999957,48.67199999999906,48.67200000000012,0.15613490853391895,0.04753124999999958,0.04753124999999908,0.047531250000000115,4.72746999537338e-16,-1,-1,-1,-1,-1
poseidon10,0.0625,pmdalinux,0.8906977245499803,0.8812304264799492,0.9015468998410177,0.007650893340710525,5.32399999999995,5.323999999999847,5.3240000000000425,0.007650893340710525,0.005199218749999951,0.005199218749999851,0.0051992187500000415,8.300520413063528e-17,-1,-1,-1,-1,-1
poseidon10,0.0625,pmdaperfevent,0.036218113430556566,0.025319554848966613,0.05055873015873016,0.009791607570040656,7.515999999999896,7.515999999999771,7.516000000000036,0.009791607570040656,0.0073398437499998985,0.007339843749999776,0.007339843750000036,1.127947165147331e-16,-1,-1,-1,-1,-1
poseidon10,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1066.1075097629268,1059.6338966613655,1071.7946133651526,4.91379882322352,-1
poseidon10,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1611
poseidon10,0.03125,pmie,0.0,0.0,0.0,0.0,2.3440000000000345,2.3440000000000145,2.344000000000044,0.0,0.0022890625000000337,0.002289062500000014,0.002289062500000043,1.1604509159382884e-17,-1,-1,-1,-1,-1
poseidon10,0.03125,pmcd,0.7392564196429019,0.7248269794721407,0.7506124346310286,0.011185212214329356,6.121000000000027,6.12099999999988,6.121000000000077,0.011185212214329356,0.0059775390625000265,0.0059775390624998825,0.005977539062500075,8.15236984206551e-17,-1,-1,-1,-1,-1
poseidon10,0.03125,pmdaproc,28.578383158471766,28.253555555555565,28.87176699593267,0.2377024216057013,48.67199999999966,48.67199999999907,48.67200000000055,0.2377024216057013,0.04753124999999967,0.047531249999999095,0.04753125000000054,6.376160142361729e-16,-1,-1,-1,-1,-1
poseidon10,0.03125,pmdalinux,0.9455558716099685,0.9219266862170088,0.9689204655674102,0.019435188585371493,5.323999999999953,5.32399999999986,5.324000000000044,0.019435188585371493,0.005199218749999954,0.005199218749999864,0.005199218750000043,7.50721501716955e-17,-1,-1,-1,-1,-1
poseidon10,0.03125,pmdaperfevent,0.028051540241841956,0.0,0.050659824046920814,0.01830320930213791,7.515999999999881,7.5159999999997575,7.516000000000038,0.01830320930213791,0.007339843749999884,0.007339843749999763,0.007339843750000037,1.1489744218541822e-16,-1,-1,-1,-1,-1
poseidon10,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1180.1464088846406,1165.6822102102099,1193.9921702498552,11.5698583958674,-1
poseidon10,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1611
poseidon20,1,pmie,0.0,0.0,0.0,0.0,2.3439999999999976,2.343999999999996,2.3440000000000003,0.0,0.0022890624999999977,0.002289062499999996,0.0022890625000000003,1.690799296545809e-18,-1,-1,-1,-1,-1
poseidon20,1,pmcd,0.03681473684210526,0.0,0.0526,0.023514612183695154,6.120999999999997,6.120999999999992,6.121000000000004,0.023514612183695154,0.005977539062499997,0.005977539062499992,0.005977539062500004,4.750735894131342e-18,-1,-1,-1,-1,-1
poseidon20,1,pmdaproc,1.3453835087719297,1.2116315789473684,1.4215438596491226,0.07892737280500906,48.672000000000004,48.671999999999954,48.67200000000002,0.07892737280500906,0.047531250000000004,0.047531249999999955,0.04753125000000002,2.7318452618149036e-17,-1,-1,-1,-1,-1
poseidon20,1,pmdalinux,0.08456263157894736,0.07327368421052632,0.10531578947368421,0.012634350627929941,5.324000000000005,5.323999999999999,5.324000000000008,0.012634350627929941,0.005199218750000005,0.005199218749999999,0.005199218750000008,3.607640981625578e-18,-1,-1,-1,-1,-1
poseidon20,1,pmdaperfevent,0.47583964912280696,0.4464210526315789,0.4901929824561403,0.017638896953876142,7.516,7.515999999999994,7.516000000000006,0.017638896953876142,0.00733984375,0.007339843749999994,0.007339843750000006,4.319426621237053e-18,-1,-1,-1,-1,-1
poseidon20,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.06736859649124,71.521,72.38757894736841,0.3595689801380689,-1
poseidon20,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1748
poseidon20,0.5,pmie,0.002036923076923077,0.0,0.010184615384615384,0.004554698464938033,2.3439999999999963,2.3439999999999954,2.3439999999999985,0.004554698464938033,0.0022890624999999964,0.0022890624999999955,0.0022890624999999986,1.2791747872533385e-18,-1,-1,-1,-1,-1
